item_id,short_title,title,year,period,google_scholar_link,vegetated_strip_description,nation,study_country,study_location,latitute,longitude,studydesign_observational,studydesign_manipulative,Study length (years),Time since intervention (years),spatialscale_plot,spatialscale_field,spatialscale_farm,spatialscale_catchment,spatialscale_regional,spatialscale_notdescribed,measurementquarter_Q1,measurementquarter_Q2,measurementquarter_Q3,measurementquarter_Q4,measurementquarter_notdescribed,farmingsystem_conventional,farmingsystem_organic,farmingsystem_notdescribed,farmingproductionsystem_livestock,farmingproductionsystem_livestockinfo,farmingproductionsystem_croppedfields,farmingproductionsystem_croppedfieldsinfo,farmingproductionsystem_horticulture,farmingproductionsystem_horticultureinfo,farmingproductionsystem_viticulture,farmingproductionsystem_viticultureinfo,farmingproductionsystem_fruit,farmingproductionsystem_fruitinfo,farmingproductionsystem_grassland,farmingproductionsystem_grasslandinfo,farmingproductionsystem_other,farmingproductionsystem_otherinfo,farmingproductionsystem_notdescribed,farmingproductionsystem_notdescribedinfo,vegetationtype_grasses,vegetationtype_grassesinfo,vegetationtype_wildflowers,vegetationtype_wildflowersinfo,vegetationtype_shrubs,vegetationtype_shrubsinfo,vegetationtype_hedgerow,vegetationtype_hedgerowinfo,vegetationtype_trees,vegetationtype_treesinfo,vegetationtype_other,vegetationtype_otherinfo,vegetationtype_notdescribed,vegetationtype_notdescribedinfo,striplocation_withinfield,striplocation_fieldedge,striplocation_riparian,striplocation_notdescribed,stripmanagement_unmanaged,stripmanagement_unmanagedinfo,stripmanagement_soilamendment,stripmanagement_soilamendmentinfo,stripmanagement_soildisturbed,stripmanagement_soildisturbedinfo,stripmanagement_cut,stripmanagement_cutinfo,stripmanagement_grazed,stripmanagement_grazedinfo,stripmanagement_harvested,stripmanagement_harvestedinfo,stripmanagement_sownplanted,stripmanagement_sownplantedinfo,stripmanagement_pesticide,stripmanagement_pesticideinfo,stripmanagement_managedother,stripmanagement_managedotherinfo,stripmanagement_notdescribed,stripmanagement_notdescribedinfo
20641367,Aaron (2005),Invertebrate Biodiversity in Agricultural and Urban Headwater Streams: Implications for Conservation and Management,2005,2005-2009,http://scholar.google.co.uk/scholar?q=Invertebrate+Biodiversity+in+Agricultural+and+Urban+Headwater+Streams:+Implications+for+Conservation&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer,USA,"Maryland, USA","Cattail Creek, Hawling's River, Northwest Branch, Paint Branch of Chesapeake Bay Watershed, Maryland",39.045755,-76.641271,Observational,,2,Not stated,,,,Catchment scale,Regional scale,,Q1,Q2,,,,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,Not described,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
20641374,Aavik (2008),What is the role of local landscape structure in the vegetation composition of field boundaries?,2008,2005-2009,http://scholar.google.co.uk/scholar?q=What+is+the+role+of+local+landscape+structure+in+the+vegetation+composition+of+field+boundaries?&btnG=&hl=en&as_sdt=0%2C5,Field boundary,Estonia,Estonia,"Vaike-Maarja, Are, Vihtra, Virratsi, Abja-Paluoja and Ilmatsalu",58.595272,25.013607,Observational,,Not stated,Not stated,,,,,Regional scale,,,,,,Not described,,,Not described,Livestock,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,,,,,Not described,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
20641375,Aavik (2010),"Quantifying the effect of organic farming, field boundary type and landscape structure on the vegetation of field boundaries",2010,2010-2014,"http://scholar.google.co.uk/scholar?q=Quantifying+the+effect+of+organic+farming,+field+boundary+type+and+landscape+structure+on+the+vegeta&btnG=&hl=en&as_sdt=0%2C5",Field boundary,Estonia,Estonia,Tartu County,58.405713,26.801576,Observational,,<1,Not stated,,,,,Regional scale,,,Q2,Q3,,,Conventional,Organic,,,,,,,,,,,,,,Other (please specify),"Mixed conventional and organic, multiple farms (not described)",,,,,,,,,Hedgerow,,,,Other (please specify),"road boundaris; grassland-adjacent boundaries; ditch verges; ditch verges with trees and bushes; woody boundaries, forest edges, tree lines and hedgerows; road verges with trees and shrubs",,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,regional study with limited details on single vegetated strips
20641382,Abu-Zreig (2004),Experimental investigation of runoff reduction and sediment removal by vegetated filter strips,2004,2000-2004,http://scholar.google.co.uk/scholar?q=Experimental+investigation+of+runoff+reduction+and+sediment+removal+by+vegetated+filter+strips&btnG=&hl=en&as_sdt=0%2C5,Vegetated filter strip,Not stated,Not stated,Not stated,not stated,not stated,,Manipulative,<1,Not stated,Plot scale,,,,,,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,Grasses,Perennial rye grass,,,,,,,,,Other (please specify),"Creeping red fescue, birdsfoot trefoil, native riparian vegetation (wild oat, quack, fescue, dandelions, etc.)",,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,
20641384,Abu-Zreig (2003),Phosphorus removal in vegetated filter strips,2003,2000-2004,http://scholar.google.co.uk/scholar?q=Phosphorus+removal+in+vegetated+filter+strips&btnG=&hl=en&as_sdt=0%2C5,Vegetated filter strip,Canada,"Ontario, Canada","Elora, Ontario",43.683715,-80.430543,,Manipulative,<1,Not stated,Plot scale,,,,,,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,Grasses,,,,,,,,,,Other (please specify),"Perennial ryegrass, legume and creeping red fescue, native grass species",,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,
20641386,Adams (2013),Disturbance and landscape effects on avian nests in agricultural conservation buffers,2013,2010-2014,http://scholar.google.co.uk/scholar?q=Disturbance+and+landscape+effects+on+avian+nests+in+agricultural+conservation+buffers&btnG=&hl=en&as_sdt=0%2C5,Conservation buffer,USA,"Mississippi, USA",Northeast Mississippi (approximately 33.7 N -88.73 E),33.7,-88.73,,Manipulative,3,2,,,Farm scale,,,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,,,,,Not described,,,Field edge,,,,,,,Soil disturbed,Light disking,,,,,,,,,,,Managed (other),Prescribed burning,,
20641389,Ahern (2002),Effect of different wheat production systems on the presence of two parasitoids (Hymenoptera : Aphelinidae; Braconidae) of the Russian wheat aphid in the North American Great Plains,2002,2000-2004,http://scholar.google.co.uk/scholar?q=Effect+of+different+wheat+production+systems+on+the+presence+of+two+parasitoids+(Hymenoptera+:+Aphel&btnG=&hl=en&as_sdt=0%2C5,Field-adjacent grassland strip,USA,"Wyoming and Colorado, USA",Southeastern Wyoming and northeastern Colorado,multiple,multiple,Observational,,2,Not stated,,,,,Regional scale,,,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,"Field-adjacent grassland strips: ""managed grasslands result[ing] from idle wheat acreage planted to various grass species, as sponsored by a federal (USA) government program""",,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
20641390,Al (2013),Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?,2013,2010-2014,http://scholar.google.co.uk/scholar?q=Does+the+presence+of+grassy+strips+and+landscape+grain+affect+the+spatial+distribution+of+aphids+and&btnG=&hl=en&as_sdt=0%2C5,Grassy strip,France,France,"Pleine-Fougeres, Brittany (48 36 N, 1 32 W)",48.6,-1.533333,Observational,,2,5,,,,,Regional scale,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),Wheat,,,,,,,,,,,,,Grasses,,,,,,,,,,,,,,,Field edge,,,Unmanaged,,,,,,,,,,,,,,,,,,,
20641397,Alignier (2015),"Changes in management practices over time explain most variation in vegetation of field margins in Brittany, France",2015,2015-2016,http://scholar.google.co.uk/scholar?q=Changes+in+management+practices+over+time+explain+most+variation+in+vegetation+of+field+margins+in+B&btnG=&hl=en&as_sdt=0%2C5,Field margin,France,France,"Mont-Saint Michel Bay, Brittany (48 36 N, 1 32 W) ",48.6,-1.533333,Observational,,7,Not stated,,,,,Regional scale,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,,,,,Not described,"No details given, some have 'tree layer' present. 'Herb layer' sampled.",,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
20641398,Anan'eva (2008),Comparative assessment of soil microbial biomass determined by the methods of direct microscopy and substrate-induced respiration,2008,2005-2009,http://scholar.google.co.uk/scholar?q=Comparative+assessment+of+soil+microbial+biomass+determined+by+the+methods+of+direct+microscopy+and+&btnG=&hl=en&as_sdt=0%2C5,Forest shelter belt,Russia,"Northwest, Central and South, Russia","Vorkuta, Moscow, and Volgograd",multiple,multiple,Observational,,Not stated,Not stated,,,,,Regional scale,,,,,,Not described,,,Not described,,,Cropped fields (arable),,,,,,,,,,Other (please specify),Fallow and meadow,,,,,,,,,,,Trees,Forest shelterbelt,,,,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,
