item_id,short_title,title,year,period,google_scholar_link,vegetated_strip_description,nation,study_country,study_location,latitute,longitude,studydesign_observational,studydesign_manipulative,Study length (years),Time since intervention (years),spatialscale_plot,spatialscale_field,spatialscale_farm,spatialscale_catchment,spatialscale_regional,spatialscale_notdescribed,measurementquarter_Q1,measurementquarter_Q2,measurementquarter_Q3,measurementquarter_Q4,measurementquarter_notdescribed,farmingsystem_conventional,farmingsystem_organic,farmingsystem_notdescribed,farmingproductionsystem_livestock,farmingproductionsystem_livestockinfo,farmingproductionsystem_croppedfields,farmingproductionsystem_croppedfieldsinfo,farmingproductionsystem_horticulture,farmingproductionsystem_horticultureinfo,farmingproductionsystem_viticulture,farmingproductionsystem_viticultureinfo,farmingproductionsystem_fruit,farmingproductionsystem_fruitinfo,farmingproductionsystem_grassland,farmingproductionsystem_grasslandinfo,farmingproductionsystem_other,farmingproductionsystem_otherinfo,farmingproductionsystem_notdescribed,farmingproductionsystem_notdescribedinfo,vegetationtype_grasses,vegetationtype_grassesinfo,vegetationtype_wildflowers,vegetationtype_wildflowersinfo,vegetationtype_shrubs,vegetationtype_shrubsinfo,vegetationtype_hedgerow,vegetationtype_hedgerowinfo,vegetationtype_trees,vegetationtype_treesinfo,vegetationtype_other,vegetationtype_otherinfo,vegetationtype_notdescribed,vegetationtype_notdescribedinfo,striplocation_withinfield,striplocation_fieldedge,striplocation_riparian,striplocation_notdescribed,stripmanagement_unmanaged,stripmanagement_unmanagedinfo,stripmanagement_soilamendment,stripmanagement_soilamendmentinfo,stripmanagement_soildisturbed,stripmanagement_soildisturbedinfo,stripmanagement_cut,stripmanagement_cutinfo,stripmanagement_grazed,stripmanagement_grazedinfo,stripmanagement_harvested,stripmanagement_harvestedinfo,stripmanagement_sownplanted,stripmanagement_sownplantedinfo,stripmanagement_pesticide,stripmanagement_pesticideinfo,stripmanagement_managedother,stripmanagement_managedotherinfo,stripmanagement_notdescribed,stripmanagement_notdescribedinfo,intervention_presence,intervention_presenceinfo,intervention_location,intervention_locationinfo,intervention_dimension,intervention_dimensioninfo,intervention_structure,itervention_structureinfo,intervention_management,intervention_managementinfo,intervention_vegetationtype,intervention_vegetationtypeinfo,intervention_management,intervention_managementinfo,intervention_other,intervention_otherinfo,intervention_transect,intervention_transectinfo,intervention_notdescribed,intervention_notdescribedinfo,outcome_biodiversityaquatic,outcome_biodiversityaquaticinfo,outcome_biodiversitysemiaquatic,outcome_biodiversitysemiaquaticinfo,outcome_biodiversityterrestrial,outcome_biodiversityterrestrialinfo,outcome_pollination,outcome_pollinationinfo,outcome_gamespecies,outcome_gamespeciesinfo,outcome_pestcontrol,outcome_pestcontrolinfo,outcome_nutrientsn,outcome_nutrientsninfo,outcome_nutrientsp,outcome_nutrientsninfo,outcome_soillossretention,outcome_soillossretentioninfo,outcome_soilsedimentchem,outcome_soilsedimentcheminfo,outcome_waterchem,outcome_watercheminfo,outcome_soilsedimentphys,outcome_soilsedimentphysinfo,outcome_waterlossretention,outcome_waterlossretentioninfo,outcome_economic,outcome_economicinfo,outcome_ghgs,outcome_ghgsinfo,outcome_pesticides,outcome_pesticidesinfo,outcome_toxins,outcome_toxinsinfo,outcome_wind,outcome_windinfo,outcome_gmpollen,outcome_gmpolleninfo,outcome_yield,outcome_yieldinfo,outcome_social,outcome_socialinfo,outcome_recreation,outcome_recreationinfo,outcome_other,outcome_otherinfo,outcome_pathogens,outcome_pathogensinfo,outcome_noncropyield,outcome_noncropyieldinfo,outcome_light,outcome_lightinfo,outcome_habitat,outcome_habitatinfo,outcome_climate,outcome_climateinfo,outcome_microbes,outcome_microbesinfo,outcome_physiology,outcome_physiologyinfo,es_provisioning_food,es_provisioning_freshwater,es_provisioning_fibrefuel,es_provisioning_biochemicalproducts,es_provisioning_geneticmaterials,es_regulating_climateregulation,es_regulating_hydrologicalregimes,es_regulating_pollutioncontrol,es_regulating_erosionprotection,es_regulating_naturalhazards,es_regulating_pestregulation,es_regulating_nutrientcycling,es_cultural_piritualinspirational,es_cultural_recreational,es_cultural_aesthetic,es_cultural_educational,es_supporting_biodiversity,es_supporting_pollination,es_supporting_soilformation
20641367,Aaron (2005),Invertebrate Biodiversity in Agricultural and Urban Headwater Streams: Implications for Conservation and Management,2005,2005-2009,http://scholar.google.co.uk/scholar?q=Invertebrate+Biodiversity+in+Agricultural+and+Urban+Headwater+Streams:+Implications+for+Conservation&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer,USA,"Maryland, USA","Cattail Creek, Hawling's River, Northwest Branch, Paint Branch of Chesapeake Bay Watershed, Maryland",39.045755,-76.641271,Observational,,2,Not stated,,,,Catchment scale,Regional scale,,Q1,Q2,,,,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,Not described,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,,Strip presence,Percentage riparian cover,,,,,,,,,,,,,,,,,,,Biodiversity (aquatic),"Macroinvertebrate species/functional group richness, density, Shannon-Wiener diversity, evenness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
20641374,Aavik (2008),What is the role of local landscape structure in the vegetation composition of field boundaries?,2008,2005-2009,http://scholar.google.co.uk/scholar?q=What+is+the+role+of+local+landscape+structure+in+the+vegetation+composition+of+field+boundaries?&btnG=&hl=en&as_sdt=0%2C5,Field boundary,Estonia,Estonia,"Vaike-Maarja, Are, Vihtra, Virratsi, Abja-Paluoja and Ilmatsalu",58.595272,25.013607,Observational,,Not stated,Not stated,,,,,Regional scale,,,,,,Not described,,,Not described,Livestock,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,,,,,Not described,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,Vegetation type,"Grassy boundary, woody ditch verge, ditch verge, woody field boundary, road verge",,,,,Transect into field/across vegetative strip,,,,,,,,Biodiversity (terrestrial),Vascular plant abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
20641375,Aavik (2010),"Quantifying the effect of organic farming, field boundary type and landscape structure on the vegetation of field boundaries",2010,2010-2014,"http://scholar.google.co.uk/scholar?q=Quantifying+the+effect+of+organic+farming,+field+boundary+type+and+landscape+structure+on+the+vegeta&btnG=&hl=en&as_sdt=0%2C5",Field boundary,Estonia,Estonia,Tartu County,58.405713,26.801576,Observational,,<1,Not stated,,,,,Regional scale,,,Q2,Q3,,,Conventional,Organic,,,,,,,,,,,,,,Other (please specify),"Mixed conventional and organic, multiple farms (not described)",,,,,,,,,Hedgerow,,,,Other (please specify),"road boundaris; grassland-adjacent boundaries; ditch verges; ditch verges with trees and bushes; woody boundaries, forest edges, tree lines and hedgerows; road verges with trees and shrubs",,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,regional study with limited details on single vegetated strips,,,,,Strip type (dimension),,Strip type (structure),,,,,,,,,,,,,,,,,,Biodiversity (terrestrial),plant species richness and composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
20641382,Abu-Zreig (2004),Experimental investigation of runoff reduction and sediment removal by vegetated filter strips,2004,2000-2004,http://scholar.google.co.uk/scholar?q=Experimental+investigation+of+runoff+reduction+and+sediment+removal+by+vegetated+filter+strips&btnG=&hl=en&as_sdt=0%2C5,Vegetated filter strip,Not stated,Not stated,Not stated,not stated,not stated,,Manipulative,<1,Not stated,Plot scale,,,,,,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,Grasses,Perennial rye grass,,,,,,,,,Other (please specify),"Creeping red fescue, birdsfoot trefoil, native riparian vegetation (wild oat, quack, fescue, dandelions, etc.)",,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,,,,,,Strip type (dimension),Strip width (described as length),,,,,Vegetation type,,,,,,,,,,,,,,,,,,,,,,,,,,Soil loss/retention,Sediment trapping efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erosion protection,,,,,,,,,,
20641384,Abu-Zreig (2003),Phosphorus removal in vegetated filter strips,2003,2000-2004,http://scholar.google.co.uk/scholar?q=Phosphorus+removal+in+vegetated+filter+strips&btnG=&hl=en&as_sdt=0%2C5,Vegetated filter strip,Canada,"Ontario, Canada","Elora, Ontario",43.683715,-80.430543,,Manipulative,<1,Not stated,Plot scale,,,,,,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,Grasses,,,,,,,,,,Other (please specify),"Perennial ryegrass, legume and creeping red fescue, native grass species",,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,,,,,,Strip type (dimension),Filter width (described as length),,,,,Vegetation type,"Perennial ryegrass (Lolium perenne), legume and creeping red fescue (Festuca rubra), bare filters, native grass species",,,,,,,,,,,,,,,,,,,,,,,Nutrients P,Phosphorus trapping efficiency,,,,,,,,,Water loss/retention,Water retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,Pollution control,,,,Nutrient cycling,,,,,,,
20641386,Adams (2013),Disturbance and landscape effects on avian nests in agricultural conservation buffers,2013,2010-2014,http://scholar.google.co.uk/scholar?q=Disturbance+and+landscape+effects+on+avian+nests+in+agricultural+conservation+buffers&btnG=&hl=en&as_sdt=0%2C5,Conservation buffer,USA,"Mississippi, USA",Northeast Mississippi (approximately 33.7 N -88.73 E),33.7,-88.73,,Manipulative,3,2,,,Farm scale,,,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,,,,,Not described,,,Field edge,,,,,,,Soil disturbed,Light disking,,,,,,,,,,,Managed (other),Prescribed burning,,,,,,,,,,,Strip management,"Prescribed burning, light disking, and controls",,,,,,,,,,,,,,,Biodiversity (terrestrial),"Dickcissel and red-winged blackbird nest density, nest survival and nest success",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
20641389,Ahern (2002),Effect of different wheat production systems on the presence of two parasitoids (Hymenoptera : Aphelinidae; Braconidae) of the Russian wheat aphid in the North American Great Plains,2002,2000-2004,http://scholar.google.co.uk/scholar?q=Effect+of+different+wheat+production+systems+on+the+presence+of+two+parasitoids+(Hymenoptera+:+Aphel&btnG=&hl=en&as_sdt=0%2C5,Field-adjacent grassland strip,USA,"Wyoming and Colorado, USA",Southeastern Wyoming and northeastern Colorado,multiple,multiple,Observational,,2,Not stated,,,,,Regional scale,,,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,"Field-adjacent grassland strips: ""managed grasslands result[ing] from idle wheat acreage planted to various grass species, as sponsored by a federal (USA) government program""",,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,Grasslands compared with diversified/traditional rotations,,,,,,,Biodiversity (terrestrial),Hymenopteran parasitoids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food,,,,,,,,,,,,,,,,Biodiversity,,
20641390,Al (2013),Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?,2013,2010-2014,http://scholar.google.co.uk/scholar?q=Does+the+presence+of+grassy+strips+and+landscape+grain+affect+the+spatial+distribution+of+aphids+and&btnG=&hl=en&as_sdt=0%2C5,Grassy strip,France,France,"Pleine-Fougeres, Brittany (48 36 N, 1 32 W)",48.6,-1.533333,Observational,,2,5,,,,,Regional scale,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),Wheat,,,,,,,,,,,,,Grasses,,,,,,,,,,,,,,,Field edge,,,Unmanaged,,,,,,,,,,,,,,,,,,,,Strip presence,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity (terrestrial),Aphids and carabid predators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
20641397,Alignier (2015),"Changes in management practices over time explain most variation in vegetation of field margins in Brittany, France",2015,2015-2016,http://scholar.google.co.uk/scholar?q=Changes+in+management+practices+over+time+explain+most+variation+in+vegetation+of+field+margins+in+B&btnG=&hl=en&as_sdt=0%2C5,Field margin,France,France,"Mont-Saint Michel Bay, Brittany (48 36 N, 1 32 W) ",48.6,-1.533333,Observational,,7,Not stated,,,,,Regional scale,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,,,,,Not described,"No details given, some have 'tree layer' present. 'Herb layer' sampled.",,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,Strip management,"Chopping, grazing, herbicide spraying, mowing, ploughing",,,,,,,,,,,,,,,Biodiversity (terrestrial),Plant species presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
20641398,Anan'eva (2008),Comparative assessment of soil microbial biomass determined by the methods of direct microscopy and substrate-induced respiration,2008,2005-2009,http://scholar.google.co.uk/scholar?q=Comparative+assessment+of+soil+microbial+biomass+determined+by+the+methods+of+direct+microscopy+and+&btnG=&hl=en&as_sdt=0%2C5,Forest shelter belt,Russia,"Northwest, Central and South, Russia","Vorkuta, Moscow, and Volgograd",multiple,multiple,Observational,,Not stated,Not stated,,,,,Regional scale,,,,,,Not described,,,Not described,,,Cropped fields (arable),,,,,,,,,,Other (please specify),Fallow and meadow,,,,,,,,,,,Trees,Forest shelterbelt,,,,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,,,,,,,,Biodiversity (terrestrial),"Microbial biomass, fungal mycelial length, length of actinomycetes, fungal spore abundance, fungal spore diameter, microbial biomass carbon",,,,,,,,,,,,,"Soil/sediment (chemical, not N/P)","SOC, pH",,,Soil/sediment (physical),"Soilt texture (sand, silt, clay)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrient cycling,,,,,Biodiversity,,Soil formation
