"","article_id","region","title","authors","hazard","response","sdgs","actor"
"1",6205478,"Africa","The response to climate variability among farm families in Northern Ghana","Nti, F.K.; Barkley, A."," Drought||| Precipitation variability||| General climate impacts"," Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based"," Food security|||Poverty"," Individuals or households||| Local government"
"2",6205479,"Africa","Sheep breeding in Central Tunisia: varied strategies and adaptations to changes in land use","Jemaa, T; Huguenin, J; Moulin, CH; Najar, T"," General climate impacts","Behavioural/cultural||| Ecosystem-based"," Other2"," Civil Society- sub-national or local||| Individuals or households||| National government||| Local government"
"3",6205480,"Africa","I eat two meals per day impact of climate variability on eating habits among households in rufiji district, tanzania: A qualitative study","Saronga, N.J.; Mosha, I.H.; Kessy, A.T.; Ezekiel, M.J.; Zizinga, A.; Kweka, O.; Onyango, P.; Kovats, S."," Drought||| Extreme precipitation and inland flooding"," Institutional|||Behavioural/cultural"," Consumption & production||| Food security||| Clean water & sanitation||| Energy security||| Health & wellbeing"," Individuals or households"
"4",6205481,"Africa","Migration and Self-Protection Against Climate Change: A Case Study of Samburu County, Kenya","Ng'ang'a, SK; Bulte, EH; Giller, KE; Mcintire, JM; Rufino, MC"," Precipitation variability||| Drought||| Extreme precipitation and inland flooding||| General climate impacts"," Ecosystem-based"," Food security|||Poverty"," Individuals or households"
"5",6205482,"Africa","Migration as an adaptive strategy to climate variability: a study of the Tonga-speaking people of Southern Zambia","Simatele, D; Simatele, M"," Other1||| Precipitation variability||| Drought||| General climate impacts","Behavioural/cultural"," Food security|||Poverty"," Individuals or households"
"6",6205483,"Africa","DEVELOPMENT OF CONSERVATION AGRICULTURE (CA) SYSTEMS IN MALAWI: LESSONS LEARNED FROM 2005 TO 2014","Thierfelder, C; Bunderson, WT; Jere, ZD; Mutenje, M; Ngwira, A"," Drought||| Precipitation variability"," Institutional||| Ecosystem-based||| Technological/infrastructural"," Food security|||Poverty||| Consumption & production"," Individuals or households||| National government|||International or multinational governance institutions||| Civil Society- international/multinational/national"
"7",6205484,"Africa","Adaptation and resilience to climate change and variability in north-east Ghana","Tambo, JA"," General climate impacts||| Drought||| Precipitation variability"," Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural"," Food security||| Consumption & production||| Gender equality||| Health & wellbeing"," Individuals or households||| Local government||| Civil Society- international/multinational/national"
"8",6205485,"Africa","Perception of and response to climate change by maize-dependent smallholders","Bedeke, SB; Vanhove, W; Wordofa, MG; Natarajan, K; Van Damme, P"," General climate impacts||| Drought||| Increased frequency and intensity of extreme heat"," Technological/infrastructural||| Institutional||| Ecosystem-based"," Food security||| Consumption & production"," Individuals or households||| National government"
"9",6205486,"Africa","Diversification and adaptation strategies to climate variability: A farm typology for the Sahel","Zorom, M; Barbier, B; Mertz, O; Servat, E"," General climate impacts||| Drought||| Precipitation variability"," Institutional||| Technological/infrastructural"," Work and economic growth||| Consumption & production||| Food security"," Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Local government||| Individuals or households"
"10",6205487,"Africa","Adapting agriculture to climate change in Kenya: Household strategies and determinants","Bryan, E; Ringler, C; Okoba, B; Roncoli, C; Silvestri, S; Herrero, M"," Extreme precipitation and inland flooding||| Drought||| Other1||| Precipitation variability"," Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based","Poverty||| Food security"," Individuals or households"
"11",6205488,"Africa","Perceptions of and adaptation to environmental change in forest-adjacent communities in three African nations","Gross-Camp, ND; Few, R; Martin, A"," Drought||| Increased frequency and intensity of extreme heat||| Other1","Behavioural/cultural||| Institutional||| Ecosystem-based"," Food security||| Health & wellbeing||| Clean water & sanitation"," Individuals or households||| Local government||| National government"
"12",6205489,"Africa","Drivers of farm-level adaptation to climate change in Africa: an evaluation by a composite index of potential adoption","de Jalon, SG; Iglesias, A; Barnes, AP"," General climate impacts"," Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural"," No information or not assessed2"," National government||| Individuals or households"
"13",6205490,"Africa","Adapting to Climate Variability and Change: Experiences from Cereal-Based Farming in the Central Rift and Kobo Valleys, Ethiopia","Kassie, BT; Hengsdijk, H; Rotter, R; Kahiluoto, H; Asseng, S; Van Ittersum, M"," Precipitation variability||| Drought||| Increased frequency and intensity of extreme heat"," Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural"," Food security||| Other2"," Individuals or households"
"14",6205491,"Africa","Effect of climate change adaptation options on monthly food shortages among smallholder farmers in West Africa","Oyekale, A.S."," Drought","Behavioural/cultural"," Food security"," Individuals or households"
"15",6205492,"Africa","Perceptions of climate change and barriers to adaptation amongst commonage and commercial livestock farmers in the semi-arid Eastern Cape Karoo","Muller, C; Shackleton, SE"," Drought||| Precipitation variability||| General climate impacts||| Other1"," Technological/infrastructural||| Ecosystem-based||| Institutional|||Behavioural/cultural"," Food security||| Consumption & production"," Individuals or households||| National government||| Local government"
"16",6205493,"Africa","Adoption and intensity of adoption of conservation farming practices in Zambia","Arslan, A; McCarthy, N; Lipper, L; Asfaw, S; Cattaneo, A"," Precipitation variability||| General climate impacts"," Technological/infrastructural||| Institutional|||Behavioural/cultural"," Consumption & production||| Food security"," Civil Society- sub-national or local||| Individuals or households||| National government|||International or multinational governance institutions"
"17",6205495,"Africa","Prioritizing investments for climate-smart agriculture: Lessons learned from Mali","Andrieu, N; Sogoba, B; Zougmore, R; Howland, F; Samake, O; Bonilla-Findji, O; Lizarazo, M; Nowak, A; Dembele, C; Corner-Dolloff, C"," Precipitation variability||| Drought"," Institutional"," Food security||| Consumption & production"," Individuals or households||| National government||| Sub-national government||| Local government||| Civil Society- international/multinational/national"
"18",6205496,"Africa","Assessing the returns to water harvesting: A meta-analysis","Bouma, JA; Hegde, SS; Lasage, R"," Drought||| Precipitation variability"," Technological/infrastructural"," Food security||| No information or not assessed2"," Individuals or households"
"19",6205497,"Africa","Farmers' perception and adaptation practice to climate variability and change: a case study of the Vea catchment in Ghana","Limantol, AM; Keith, BE; Azabre, BA; Lennartz, B"," Drought||| Precipitation variability"," Ecosystem-based"," Food security|||Poverty"," National government||| Local government"
